,ATLA-ATLA,ATLA-CHIN,ATLA-DNVR,ATLA-HSTN,ATLA-IPLS,ATLA-KSCY,ATLA-LOSA,ATLA-NYCM,ATLA-SNVA,ATLA-STTL,ATLA-WASH,CHIN-ATLA,CHIN-CHIN,CHIN-DNVR,CHIN-HSTN,CHIN-IPLS,CHIN-KSCY,CHIN-LOSA,CHIN-NYCM,CHIN-SNVA,CHIN-STTL,CHIN-WASH,DNVR-ATLA,DNVR-CHIN,DNVR-DNVR,DNVR-HSTN,DNVR-IPLS,DNVR-KSCY,DNVR-LOSA,DNVR-NYCM,DNVR-SNVA,DNVR-STTL,DNVR-WASH,HSTN-ATLA,HSTN-CHIN,HSTN-DNVR,HSTN-HSTN,HSTN-IPLS,HSTN-KSCY,HSTN-LOSA,HSTN-NYCM,HSTN-SNVA,HSTN-STTL,HSTN-WASH,IPLS-ATLA,IPLS-CHIN,IPLS-DNVR,IPLS-HSTN,IPLS-IPLS,IPLS-KSCY,IPLS-LOSA,IPLS-NYCM,IPLS-SNVA,IPLS-STTL,IPLS-WASH,KSCY-ATLA,KSCY-CHIN,KSCY-DNVR,KSCY-HSTN,KSCY-IPLS,KSCY-KSCY,KSCY-LOSA,KSCY-NYCM,KSCY-SNVA,KSCY-STTL,KSCY-WASH,LOSA-ATLA,LOSA-CHIN,LOSA-DNVR,LOSA-HSTN,LOSA-IPLS,LOSA-KSCY,LOSA-LOSA,LOSA-NYCM,LOSA-SNVA,LOSA-STTL,LOSA-WASH,NYCM-ATLA,NYCM-CHIN,NYCM-DNVR,NYCM-HSTN,NYCM-IPLS,NYCM-KSCY,NYCM-LOSA,NYCM-NYCM,NYCM-SNVA,NYCM-STTL,NYCM-WASH,SNVA-ATLA,SNVA-CHIN,SNVA-DNVR,SNVA-HSTN,SNVA-IPLS,SNVA-KSCY,SNVA-LOSA,SNVA-NYCM,SNVA-SNVA,SNVA-STTL,SNVA-WASH,STTL-ATLA,STTL-CHIN,STTL-DNVR,STTL-HSTN,STTL-IPLS,STTL-KSCY,STTL-LOSA,STTL-NYCM,STTL-SNVA,STTL-STTL,STTL-WASH,WASH-ATLA,WASH-CHIN,WASH-DNVR,WASH-HSTN,WASH-IPLS,WASH-KSCY,WASH-LOSA,WASH-NYCM,WASH-SNVA,WASH-STTL,WASH-WASH
2003-09-01 00:00:00,8466132.0,29346537.0,15792104.0,3646187.0,21756443.0,10792818.0,14220940.0,25014340.0,13677284.0,10591345.0,44830710.0,22162644.0,10569554.0,8508784.0,6066791.0,28761923.0,14757430.0,19808715.0,30512810.0,12702092.0,6238925.0,34567357.0,15011881.0,21515113.0,7438737.0,5022386.0,35788370.0,12343491.0,7011763.0,26119304.0,5663777.0,7064714.0,15275151.0,3658793.0,7438930.0,1986445.0,4753711.0,8410876.0,1876191.0,3112648.0,4828167.0,2129194.0,2497207.0,13508663.0,27365446.0,205636370.0,23188649.0,11484853.0,52512793.0,16072939.0,47710433.0,68702222.0,13782491.0,16927867.0,52534567.0,4226925.0,13737729.0,11077360.0,1191468.0,17698288.0,2825985.0,6851966.0,13838758.0,3251330.0,4042202.0,16491269.0,27779322.0,20783721.0,8024363.0,2879081.0,28783825.0,6016420.0,627752.0,35258016.0,7217979.0,8701867.0,24646776.0,28973670.0,88827268.0,25138452.0,14001705.0,64718460.0,19610639.0,33304184.0,97533196.0,25556204.0,27523690.0,116960980.0,8376490.0,19154272.0,2919897.0,4193259.0,14772857.0,5001149.0,25578727.0,44853512.0,31270597.0,47084483.0,19710392.0,8896031.0,11377231.0,5445580.0,1332575.0,8172236.0,2238361.0,9933653.0,22113886.0,18206254.0,1306840.0,11007385.0,34417418.0,53296727.0,18724766.0,12238893.0,52782009.0,12836459.0,31460190.0,105796930.0,13756184.0,13582945.0,120384980.0
2003-09-01 00:10:00,20524567.0,28726106.0,8030109.0,4175817.0,24497174.0,8623734.0,15695839.0,36788680.0,5607086.0,10714795.0,53497313.0,23544876.0,14036027.0,10365533.0,6680411.0,30020293.0,16365005.0,19955891.0,32125614.0,14085997.0,8234277.0,32294560.0,16074873.0,21941937.0,6278290.0,5040748.0,42353104.0,13210411.0,6057381.0,26377858.0,5353211.0,7185921.0,17881840.0,4210651.0,7045592.0,1902574.0,5752071.0,9474470.0,2165768.0,2839805.0,5264467.0,2497620.0,2628783.0,13659384.0,28139864.0,378234790.0,22811253.0,13033509.0,59589216.0,21051526.0,33340161.0,72140239.0,12822610.0,17010958.0,56393949.0,3516837.0,10091248.0,9365325.0,1208489.0,17059981.0,3943752.0,3691558.0,13699052.0,3284314.0,3810497.0,14704455.0,30340760.0,24498305.0,7685726.0,8837148.0,28111247.0,7118847.0,703833.0,36276056.0,8533262.0,10009157.0,29061691.0,34010328.0,91955017.0,24516933.0,13972227.0,70720164.0,18776161.0,39921334.0,102049160.0,26199881.0,26840222.0,116668960.0,11207512.0,24004399.0,3983489.0,10922988.0,17708735.0,4876484.0,27716512.0,43867847.0,30872406.0,53927107.0,20496382.0,10473794.0,11806536.0,6806334.0,2265811.0,8413283.0,6142062.0,10294307.0,21082187.0,18054608.0,1093814.0,12029267.0,44454956.0,68413060.0,28522606.0,11377094.0,60006620.0,12556471.0,32450393.0,70665497.0,13968786.0,16144471.0,135679630.0
2003-09-01 00:20:00,12864863.0,27630217.0,7417228.0,5337471.0,23254392.0,7882377.0,16176022.0,31682355.0,6354657.0,12205515.0,51596252.0,25348900.0,16634715.0,12887229.0,8246765.0,35265859.0,16732868.0,22674460.0,30838759.0,13166694.0,10632215.0,36546522.0,19488876.0,19335063.0,5898726.0,4741619.0,38150752.0,13021727.0,4825252.0,24939423.0,4854303.0,7496997.0,17969759.0,4211578.0,7987543.0,2010440.0,5553520.0,9197589.0,2618806.0,3516418.0,8574022.0,2921689.0,3218860.0,14356804.0,32542379.0,218884540.0,21699946.0,16156150.0,60263090.0,17039838.0,58669170.0,73714713.0,10909017.0,19229654.0,58529938.0,3254288.0,10437925.0,5320445.0,1988809.0,14994170.0,7402188.0,3947879.0,12179844.0,3892113.0,4635830.0,11163938.0,26487684.0,24774169.0,8342339.0,4423987.0,30148045.0,7621998.0,347263.0,36528687.0,7976680.0,8369042.0,31932218.0,34518181.0,85506579.0,24363034.0,12808985.0,76030907.0,15554515.0,37256894.0,109862510.0,28772784.0,30095748.0,119826040.0,10297431.0,22669657.0,4525107.0,7299554.0,17286210.0,4154580.0,27020243.0,35381455.0,30889830.0,65203292.0,21555842.0,9825472.0,11784056.0,5832191.0,3369264.0,10667507.0,6828729.0,9590491.0,22949595.0,16761744.0,1480914.0,11563538.0,65794419.0,67969461.0,37073856.0,15680615.0,61484233.0,16318506.0,33768245.0,71577084.0,13938533.0,14959708.0,126175780.0
2003-09-01 00:30:00,10856263.0,32243146.0,7136130.0,3695059.0,28747761.0,9102603.0,16200072.0,27472465.0,9402609.0,10934084.0,44675780.0,25069050.0,18162949.0,13055269.0,7508872.0,46116847.0,15256759.0,21829227.0,31231279.0,14604476.0,9629606.0,36046933.0,16872715.0,20313756.0,6924307.0,4918902.0,39253241.0,12866088.0,6586184.0,27583659.0,11024706.0,7633286.0,19032696.0,3925047.0,10463906.0,1692982.0,5281998.0,10595918.0,1963792.0,4890696.0,11134607.0,2450339.0,2642719.0,11070226.0,32779033.0,67403379.0,20500931.0,24175616.0,56324714.0,21251993.0,56200379.0,72907685.0,18937531.0,19132669.0,68466218.0,5460000.0,10365967.0,4574672.0,2357749.0,16738136.0,6908048.0,3534775.0,10920018.0,3773010.0,4501737.0,12992207.0,31401050.0,26805295.0,10733603.0,4471696.0,26399804.0,7547864.0,453225.0,35186657.0,7942533.0,8373031.0,31088837.0,33735729.0,80182809.0,24483449.0,12029067.0,76365697.0,15811670.0,34575308.0,110651500.0,27099173.0,30047305.0,126138790.0,8310940.0,24748606.0,3878979.0,7713588.0,32219668.0,4695197.0,28405331.0,40270019.0,30218445.0,52517674.0,24821647.0,9935640.0,12759871.0,4025260.0,3677068.0,11226086.0,2135727.0,9957817.0,25030047.0,17874957.0,1409034.0,11798726.0,45910790.0,66616097.0,43019246.0,12726958.0,64027333.0,16394673.0,33440318.0,79682647.0,16212806.0,16425845.0,112891500.0
2003-09-01 00:40:00,10068533.0,30164311.0,8061482.0,2922271.0,35642229.0,9104036.0,12279530.0,29171205.0,7624924.0,11327807.0,49878455.0,17720012.0,14920973.0,14166440.0,8410519.0,45277921.0,17050916.0,23169177.0,28680011.0,11989075.0,8733150.0,34820636.0,15988952.0,20853404.0,12599790.0,4702292.0,36389813.0,15749963.0,8371274.0,32920433.0,8159247.0,6735958.0,18307892.0,3596099.0,8755926.0,1614338.0,9992644.0,11257398.0,2772410.0,4541106.0,10947238.0,2362714.0,1608686.0,9946983.0,31711498.0,63644769.0,21054894.0,19319928.0,46123831.0,19239549.0,36382367.0,74857658.0,15152417.0,16835852.0,66379306.0,5277519.0,12930287.0,2819360.0,1120050.0,14831732.0,4577762.0,6297382.0,11713139.0,4807847.0,4118656.0,13957819.0,23248459.0,30731905.0,9637674.0,4307678.0,26920115.0,8038639.0,460112.0,34484821.0,9203658.0,8203299.0,30197491.0,28215909.0,85836037.0,23324980.0,12996821.0,71861237.0,15195991.0,38775826.0,115133740.0,26433792.0,31183559.0,111415150.0,5454859.0,22325803.0,3768132.0,8838990.0,14660428.0,4639682.0,28792306.0,39719304.0,29156557.0,64432391.0,24693710.0,10810067.0,14871705.0,3364734.0,3416750.0,10122191.0,1738872.0,12272473.0,23337944.0,15706543.0,1751430.0,12344123.0,44280883.0,66797282.0,40408580.0,11733121.0,54541962.0,16769259.0,33927515.0,81480788.0,16757707.0,15158825.0,123140310.0
2003-09-01 00:50:00,6886434.0,26797124.0,9011267.0,3084852.0,23691423.0,12097067.0,15160907.0,35705296.0,7139036.0,10426541.0,47621792.0,16296346.0,14687511.0,10456552.0,9322710.0,45484398.0,13866263.0,28921446.0,24249304.0,12849242.0,10393091.0,34650831.0,16205987.0,19319764.0,8489867.0,4637691.0,37431110.0,13801842.0,8096464.0,25838978.0,4973733.0,5551581.0,17651231.0,4623834.0,8324243.0,1764111.0,8060136.0,11223942.0,3856203.0,3879879.0,5869074.0,2698529.0,2335768.0,10261194.0,35135998.0,60118857.0,23687945.0,20008885.0,62568847.0,19260671.0,62957401.0,76298333.0,15633595.0,18765010.0,64754103.0,4696797.0,14610573.0,2540732.0,1367794.0,18865074.0,3911592.0,6860975.0,10410126.0,5420532.0,4378684.0,14726823.0,30598282.0,35530827.0,7852189.0,5261932.0,27127687.0,7573786.0,518518.0,37489708.0,10446244.0,8023688.0,27685512.0,27176596.0,79254924.0,26723602.0,14008645.0,72604745.0,17001391.0,38552834.0,119840140.0,25539867.0,30580252.0,104651160.0,7438206.0,18541856.0,8012576.0,10395344.0,32893651.0,4247757.0,31844493.0,36240419.0,29802714.0,60083030.0,22926265.0,10710885.0,16151743.0,6845831.0,3856690.0,12314866.0,1951188.0,13238566.0,25353312.0,15833143.0,2140515.0,12132176.0,39253081.0,63664403.0,37653260.0,13189909.0,58056897.0,18505687.0,32377995.0,105472620.0,16170743.0,14282972.0,113083050.0
2003-09-01 01:00:00,4898240.0,30156627.0,8804811.0,3488872.0,29599650.0,14222361.0,16047109.0,31734558.0,6619160.0,10412081.0,47719335.0,19272457.0,16550536.0,8455238.0,10457000.0,38925540.0,12549026.0,27600862.0,22936366.0,12642930.0,9023959.0,32728248.0,16299360.0,21953203.0,7360605.0,5114173.0,36847322.0,13153826.0,7436271.0,27316810.0,5581399.0,6573326.0,20869359.0,4477828.0,10326197.0,1388908.0,6971054.0,10271410.0,1529433.0,3452094.0,5550071.0,2932499.0,2371673.0,10237338.0,31246319.0,58455612.0,20176954.0,20728371.0,50353596.0,19092346.0,69191697.0,69909566.0,23459640.0,21735583.0,64665982.0,6015721.0,16580589.0,2311110.0,1276273.0,20510504.0,2662875.0,4581822.0,10604755.0,5526341.0,2539236.0,16824410.0,29433831.0,34689396.0,6766785.0,9034713.0,26022209.0,6796502.0,386024.0,38570536.0,8704764.0,9968344.0,27739124.0,35986774.0,74661249.0,30251788.0,15012130.0,69251568.0,18597226.0,35531546.0,107462340.0,35972715.0,30884011.0,110283770.0,11456594.0,20527823.0,3762324.0,10483881.0,15459547.0,4490343.0,33421003.0,37338761.0,44236932.0,51192512.0,19859305.0,8969879.0,14624778.0,7075628.0,4304797.0,12290192.0,1534694.0,14989854.0,24067040.0,15658842.0,1459681.0,13340455.0,46486289.0,58286708.0,30293795.0,15201058.0,62827807.0,17116749.0,29311889.0,78615122.0,17669077.0,16421471.0,125216470.0
2003-09-01 01:10:00,6248053.0,29814965.0,9445386.0,4028627.0,22085051.0,12169131.0,12351694.0,37517103.0,6039646.0,10705797.0,51608505.0,21506839.0,16504560.0,7313492.0,11943065.0,41906711.0,9328863.0,31630176.0,23315800.0,11920776.0,7892396.0,32172748.0,16267050.0,22154291.0,10595923.0,5646973.0,35548234.0,15349620.0,8552275.0,29338787.0,5725075.0,7692130.0,23905960.0,4795485.0,9459675.0,1447601.0,8157774.0,10779051.0,1608460.0,3315042.0,4371929.0,3541956.0,3018370.0,13013713.0,35355738.0,62289469.0,19184559.0,18067407.0,44957748.0,20043496.0,38995887.0,65391282.0,14137529.0,20178279.0,68803823.0,6186047.0,15089535.0,2922989.0,947248.0,20913964.0,3370321.0,4436831.0,13750784.0,4311151.0,1828572.0,17155295.0,27476212.0,31101616.0,7878822.0,11475389.0,26066380.0,7085189.0,463133.0,40017649.0,8422230.0,10328932.0,27832303.0,36804461.0,80277435.0,29433079.0,12818004.0,70491337.0,18746348.0,36090609.0,114007250.0,32841457.0,28488724.0,123384200.0,25613029.0,22211506.0,9059569.0,9108869.0,16554340.0,5284689.0,34829244.0,38138609.0,29139917.0,50189887.0,20006355.0,9438363.0,15364658.0,3562413.0,3599769.0,13466618.0,1844475.0,16631942.0,22645500.0,14387190.0,1547728.0,10656117.0,49874350.0,62172268.0,23985085.0,14492978.0,65236857.0,17821662.0,32904086.0,86022060.0,16735178.0,20557085.0,120186790.0
2003-09-01 01:20:00,7180983.0,30857813.0,8848281.0,4365325.0,30503423.0,9387983.0,14167375.0,36373669.0,4669164.0,10228338.0,49873465.0,18325403.0,15540263.0,9728574.0,8937171.0,38994068.0,9186285.0,27615741.0,22427238.0,12535757.0,8270989.0,33237810.0,17980370.0,24123092.0,17700180.0,5190236.0,39667131.0,16932672.0,10037787.0,33928205.0,5286106.0,10967366.0,25777731.0,4682926.0,10453463.0,1630700.0,8067612.0,10924087.0,2029305.0,3962091.0,3491193.0,4233313.0,4239410.0,14640300.0,31304468.0,62545361.0,18953746.0,14899620.0,44046209.0,24021766.0,58637244.0,72761385.0,13575113.0,16659986.0,64322185.0,9899679.0,12178791.0,4671482.0,1054967.0,21909426.0,4823634.0,3796516.0,12182362.0,3510175.0,1627616.0,17909272.0,27475370.0,36147844.0,7497608.0,4927607.0,27870912.0,12364759.0,478716.0,37582158.0,9251040.0,10502256.0,30397342.0,37213521.0,75004851.0,29800011.0,13696042.0,77762128.0,16479262.0,30870042.0,102377210.0,31229685.0,31434408.0,134916940.0,9992296.0,22860161.0,4582865.0,7007136.0,19709395.0,5991306.0,29325178.0,40026437.0,27634642.0,48684334.0,19176752.0,9773548.0,14903025.0,4036686.0,3443389.0,12248837.0,1926886.0,13989238.0,20205051.0,13638774.0,1871367.0,11075759.0,41965720.0,68251716.0,36661473.0,15587404.0,57840291.0,15055479.0,33461380.0,82169945.0,15783877.0,19195575.0,116369030.0
2003-09-01 01:30:00,7503555.0,31675685.0,8252067.0,4028992.0,25435393.0,9935391.0,14640947.0,34719841.0,9286745.0,10992822.0,49449800.0,22850359.0,15151457.0,11324757.0,7621272.0,33973471.0,9143669.0,25300931.0,21178941.0,12763637.0,8888512.0,31353639.0,14545013.0,24192551.0,18062487.0,5411941.0,41080313.0,18384712.0,11573749.0,33835901.0,15557814.0,12512928.0,24967495.0,3511178.0,9255364.0,1197249.0,5151127.0,9385219.0,1999618.0,4681295.0,4647866.0,3348170.0,5066202.0,14553380.0,29188780.0,82456278.0,19039476.0,14754264.0,46440433.0,24633264.0,61358133.0,67518596.0,21482116.0,16078475.0,58363631.0,14161531.0,11410501.0,3032661.0,2558026.0,18701419.0,4561648.0,3123613.0,8871569.0,3051631.0,2114450.0,16879227.0,23550610.0,36563958.0,10453278.0,4186872.0,29859207.0,12468965.0,453654.0,36663705.0,9550371.0,12327628.0,31248303.0,34664292.0,69878575.0,32195186.0,14372331.0,75036420.0,18703338.0,29431414.0,107896100.0,27507850.0,33448553.0,142308340.0,11081349.0,24121913.0,4490683.0,8202521.0,16797785.0,6391531.0,27219677.0,50804612.0,27860593.0,47212333.0,16865355.0,8796162.0,15776202.0,5568991.0,3077482.0,11486390.0,3376029.0,10486257.0,21839770.0,12805191.0,1756584.0,10714377.0,40858192.0,64817476.0,40307899.0,11192637.0,56222991.0,16064173.0,32535261.0,96716354.0,14813943.0,19581037.0,121708940.0
